safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,hand_made_ping
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.599452973,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.699625969,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.800903797,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,365.90073371,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.000836134,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.099956036,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.199945212,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.2987566,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.398362398,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.498352766,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.59821105,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.699126482,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.800927878,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,366.901870251,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.001043797,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.10169673,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.200899601,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.301773072,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.402026892,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.501293421,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.601244212,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.699285746,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.79848814,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.898375035,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,367.998239041,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.10031271,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.20208478,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.301686049,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.401297093,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.501263857,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.601300001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.701307059,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.801241875,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.901292801,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,368.999822617,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.098429442,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.198949337,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.298680544,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.399185896,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.500958681,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.601260424,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.701331377,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.80191803,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,369.906092644,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.000974656,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.102277041,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.202283621,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.302328825,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.400882006,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.498378039,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.600237608,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.698560477,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.799058438,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,370.900806904,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.001300574,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.102099896,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.201695204,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.301853896,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.40173316,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.501749516,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.601724863,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.70178175,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.799600363,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,371.898627282,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.000317812,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.09884882,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.198598147,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.300683737,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.400576353,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.500733137,0.0
