safety_value,throttle,steering,current,voltage,IMU[0],IMU[1],IMU[2],velocity,elapsed time,republished time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.600259542,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.70007205,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.801228523,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.901723862,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.002010822,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.101265669,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.201202393,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.30210638,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.400451183,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.49963212,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.599932432,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.699856997,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.801146269,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.901061058,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.000950336,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.101883173,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.200802088,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.301858902,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.400738239,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.502177,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.60192132,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.701952457,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.800445318,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.899579763,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.999680996,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.099380016,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.200938463,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.301546097,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.400918007,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.501718998,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.600804567,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.701586962,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.801167965,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.902702332,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.001981497,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.101873159,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.200442314,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.29984951,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.399759054,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.499538183,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.601158142,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.702002525,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.801528692,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.901086569,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.001279116,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.100919962,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.201964378,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.301835299,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.401510239,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.501206398,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.599702835,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.700770616,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.800334454,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,36.89997077,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.000860929,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.102160692,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.201200485,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.30105114,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.402017832,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.501852274,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.601157427,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.701337099,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.801238775,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.901260853,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.999707222,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.099716425,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.200114965,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.299460411,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.401228189,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.501861572,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.60112524,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.701855898,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.800858498,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.900931358,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.001784086,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.101832867,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.201508999,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.300488949,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.399584293,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.501019239,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.599760771,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.700647831,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.801215172,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.904238701,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.001959324,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.100868225,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.201323986,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.301926613,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.401874781,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.501928091,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.602144241,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.70046401,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.799302101,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.900108576,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.999766827,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.099955559,-0.141676426
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.201412678,-0.141676426
